text,label,label_name
   mere jatt pr toh jaa hi mat smjh ayi.. .dobara kisi ..jatt pr aaise bt b mt krna caste ko beech ..laakr.. ..neech log .,0,Abusive/Offensive
rat ko milo bc,4,Profane/Untargeted
masha allah khan ads sb.. ab aap kab goverments banwanay aur chlanay lagay..,1,Normal
sir ye hamein na batayen k fake news hai. ye tu hamein b pata hai. app action len is channel k khilaf k woh fake news chala kaise rahe hain,1,Normal
in students ko wapis tou le aain lekin do we have the facility to diagnose or treat this virus? can we stop it from spreading? do you want it to spread in pakistan? they have a better chance if they stay there until a vaccine is made. ,1,Normal
 dhoondny se mil jaty hain,1,Normal
are bc lagta cahcchi abhi abhi halala karake aayi haii.ðÿ˜šðÿ˜š,2,Religious Hate
jannat dena ya jhahnum dena upar wale ke hath me hai par watan ke gaddaro ko unki sahi jagha pahochna army ki zimmedari hai #article6forptmleadership,0,Abusive/Offensive
angreez bazorgon ki bilkul izzt nhi krty.. newton aur ainstyn hmry haa hoty to un ka bhi salana ors hota,1,Normal
abe chup b bharwe...tje jate jate thuka apni behn chodne k lye de gia h....to us ko chodta reh r badle me thukla ko gata reh,0,Abusive/Offensive
 😂nahi pata nahi kya hai mein khana deti hoon wo khaa leti hai lekin pyar nahi karnay deti bhag jati hai😅🥺😂😅💔,1,Normal
  zulam to her jaga horha he. krne walloon main ferq he.,1,Normal
meri ex k ab itny ex ho gy hain k us ki shadi waly din 'channa merya' py ek group performance ho jaey ga 😂,1,Normal
pakistani randi ki pakistan's randiiiiiiiii kanya ne kitne bar choda hai,3,Sexism
zafar bhai sheron ki foj ka hijra commando,3,Sexism
"bhenchod funny aadmi hai tu, aur kya chahiye 🥺",4,Profane/Untargeted
better being a hijra than an anti national....,3,Sexism
pehle apni aurto ko halala se bachao ye bhi modi kar raha hai. agar sahi tum logo ka dna kiya jaye to pata nhi baap kon niklega,2,Religious Hate
me : bhai pada nahi jarha friend : fail hojaega me : ese kese bhenchod gaand faad dunga pass hoke rahungaa friend : haan hojaega me : par kese? friend : abe oo bhusdandi ke,4,Profane/Untargeted
"  abe kisi sasti randi ki aulaad, pehly ja kr apny total baap gino hen kitny 😂ek tu me hn, baki koi 10, 12 or bhi hn ge 🤣 tery jeson ko yahaan underwear me rakhy hen hum😂",0,Abusive/Offensive
sore throat for the fourth time bhenchod kya hai yeh?????,4,Profane/Untargeted
benchod randi ke aur marege tumhe smajhe,3,Sexism
kuti nasal ki kuti jo sahaba py bhonki hai,0,Abusive/Offensive
"aik jaise randi ronay hain hamaray. prepare well for your cies, pehlay walo main achay grades aayenge toh aagay motivation mille gi. considering you’re in class 10?",4,Profane/Untargeted
rt : pehnchod saalay!!,0,Abusive/Offensive
shehbaaz:-paras tere night suits itne famous hai na. sb poochte hai ye kaun satrangi sa banda aya hai 😂😂  punjab dekhna tha na paras ko. dekh le  #shehnaazgill #bb13 #biggboss13,1,Normal
 bhaiya bhabhi ko miss kar rahe hoh 🙏koi baat nahi our bhabhi is best in the world...,1,Normal
 hahah. wo mujy b nhe pata.,1,Normal
petrol itna sasta hogaya hai.  i'm planning to invest that money in stocks.  shukriya ,1,Normal
